yr,ssp3,ssp1,,,,
1665.625,276.73,276.73,,,,
1665.709,276.73,276.73,,,,
1665.792,276.73,276.73,,,,
1665.875,276.73,276.73,,,,
1665.959,276.74,276.74,,,,
1666.042,276.74,276.74,,,,
1666.125,276.74,276.74,,,,
1666.209,276.74,276.74,,,,
1666.292,276.75,276.75,,,,
1666.375,276.75,276.75,,,,
1666.459,276.75,276.75,,,,
1666.542,276.75,276.75,,,,
1666.625,276.75,276.75,,,,
1666.709,276.76,276.76,,,,
1666.792,276.76,276.76,,,,
1666.875,276.76,276.76,,,,
1666.959,276.76,276.76,,,,
1667.042,276.76,276.76,,,,
1667.125,276.77,276.77,,,,
1667.209,276.77,276.77,,,,
1667.292,276.77,276.77,,,,
1667.375,276.77,276.77,,,,
1667.459,276.78,276.78,,,,
1667.542,276.78,276.78,,,,
1667.625,276.78,276.78,,,,
1667.709,276.78,276.78,,,,
1667.792,276.78,276.78,,,,
1667.875,276.79,276.79,,,,
1667.959,276.79,276.79,,,,
1668.042,276.79,276.79,,,,
1668.125,276.79,276.79,,,,
1668.209,276.8,276.8,,,,
1668.292,276.8,276.8,,,,
1668.375,276.8,276.8,,,,
1668.459,276.8,276.8,,,,
1668.542,276.81,276.81,,,,
1668.625,276.81,276.81,,,,
1668.709,276.81,276.81,,,,
1668.792,276.81,276.81,,,,
1668.875,276.81,276.81,,,,
1668.959,276.82,276.82,,,,
1669.042,276.82,276.82,,,,
1669.125,276.82,276.82,,,,
1669.209,276.82,276.82,,,,
1669.292,276.83,276.83,,,,
1669.375,276.83,276.83,,,,
1669.459,276.83,276.83,,,,
1669.542,276.83,276.83,,,,
1669.625,276.83,276.83,,,,
1669.709,276.84,276.84,,,,
1669.792,276.84,276.84,,,,
1669.875,276.84,276.84,,,,
1669.959,276.84,276.84,,,,
1670.042,276.58,276.58,,,,
1670.125,276.58,276.58,,,,
1670.209,276.59,276.59,,,,
1670.292,276.59,276.59,,,,
1670.375,276.59,276.59,,,,
1670.459,276.59,276.59,,,,
1670.542,276.6,276.6,,,,
1670.625,276.6,276.6,,,,
1670.709,276.6,276.6,,,,
1670.792,276.6,276.6,,,,
1670.875,276.6,276.6,,,,
1670.959,276.61,276.61,,,,
1671.042,276.61,276.61,,,,
1671.125,276.61,276.61,,,,
1671.209,276.61,276.61,,,,
1671.292,276.62,276.62,,,,
1671.375,276.62,276.62,,,,
1671.459,276.62,276.62,,,,
1671.542,276.62,276.62,,,,
1671.625,276.62,276.62,,,,
1671.709,276.63,276.63,,,,
1671.792,276.63,276.63,,,,
1671.875,276.63,276.63,,,,
1671.959,276.63,276.63,,,,
1672.042,276.63,276.63,,,,
1672.125,276.64,276.64,,,,
1672.209,276.64,276.64,,,,
1672.292,276.64,276.64,,,,
1672.375,276.64,276.64,,,,
1672.459,276.65,276.65,,,,
1672.542,276.65,276.65,,,,
1672.625,276.65,276.65,,,,
1672.709,276.65,276.65,,,,
1672.792,276.65,276.65,,,,
1672.875,276.66,276.66,,,,
1672.959,276.66,276.66,,,,
1673.042,276.66,276.66,,,,
1673.125,276.66,276.66,,,,
1673.209,276.67,276.67,,,,
1673.292,276.67,276.67,,,,
1673.375,276.67,276.67,,,,
1673.459,276.67,276.67,,,,
1673.542,276.67,276.67,,,,
1673.625,276.68,276.68,,,,
1673.709,276.68,276.68,,,,
1673.792,276.68,276.68,,,,
1673.875,276.68,276.68,,,,
1673.959,276.68,276.68,,,,
1674.042,276.69,276.69,,,,
1674.125,276.69,276.69,,,,
1674.209,276.69,276.69,,,,
1674.292,276.69,276.69,,,,
1674.375,276.7,276.7,,,,
1674.459,276.7,276.7,,,,
1674.542,276.7,276.7,,,,
1674.625,276.7,276.7,,,,
1674.709,276.7,276.7,,,,
1674.792,276.71,276.71,,,,
1674.875,276.71,276.71,,,,
1674.959,276.71,276.71,,,,
1675.042,276.71,276.71,,,,
1675.125,276.71,276.71,,,,
1675.209,276.72,276.72,,,,
1675.292,276.72,276.72,,,,
1675.375,276.72,276.72,,,,
1675.459,276.72,276.72,,,,
1675.542,276.73,276.73,,,,
1675.625,276.73,276.73,,,,
1675.709,276.73,276.73,,,,
1675.792,276.73,276.73,,,,
1675.875,276.73,276.73,,,,
1675.959,276.74,276.74,,,,
1676.042,276.74,276.74,,,,
1676.125,276.74,276.74,,,,
1676.209,276.74,276.74,,,,
1676.292,276.75,276.75,,,,
1676.375,276.75,276.75,,,,
1676.459,276.75,276.75,,,,
1676.542,276.75,276.75,,,,
1676.625,276.75,276.75,,,,
1676.709,276.76,276.76,,,,
1676.792,276.76,276.76,,,,
1676.875,276.76,276.76,,,,
1676.959,276.76,276.76,,,,
1677.042,276.76,276.76,,,,
1677.125,276.77,276.77,,,,
1677.209,276.77,276.77,,,,
1677.292,276.77,276.77,,,,
1677.375,276.77,276.77,,,,
1677.459,276.78,276.78,,,,
1677.542,276.78,276.78,,,,
1677.625,276.78,276.78,,,,
1677.709,276.78,276.78,,,,
1677.792,276.78,276.78,,,,
1677.875,276.79,276.79,,,,
1677.959,276.79,276.79,,,,
1678.042,276.79,276.79,,,,
1678.125,276.79,276.79,,,,
1678.209,276.8,276.8,,,,
1678.292,276.8,276.8,,,,
1678.375,276.8,276.8,,,,
1678.459,276.8,276.8,,,,
1678.542,276.81,276.81,,,,
1678.625,276.81,276.81,,,,
1678.709,276.81,276.81,,,,
1678.792,276.81,276.81,,,,
1678.875,276.81,276.81,,,,
1678.959,276.82,276.82,,,,
1679.042,276.82,276.82,,,,
1679.125,276.82,276.82,,,,
1679.209,276.82,276.82,,,,
1679.292,276.83,276.83,,,,
1679.375,276.83,276.83,,,,
1679.459,276.83,276.83,,,,
1679.542,276.83,276.83,,,,
1679.625,276.83,276.83,,,,
1679.709,276.84,276.84,,,,
1679.792,276.84,276.84,,,,
1679.875,276.84,276.84,,,,
1679.959,276.84,276.84,,,,
1680.042,276.58,276.58,,,,
1680.125,276.58,276.58,,,,
1680.209,276.59,276.59,,,,
1680.292,276.59,276.59,,,,
1680.375,276.59,276.59,,,,
1680.459,276.59,276.59,,,,
1680.542,276.6,276.6,,,,
1680.625,276.6,276.6,,,,
1680.709,276.6,276.6,,,,
1680.792,276.6,276.6,,,,
1680.875,276.6,276.6,,,,
1680.959,276.61,276.61,,,,
1681.042,276.61,276.61,,,,
1681.125,276.61,276.61,,,,
1681.209,276.61,276.61,,,,
1681.292,276.62,276.62,,,,
1681.375,276.62,276.62,,,,
1681.459,276.62,276.62,,,,
1681.542,276.62,276.62,,,,
1681.625,276.62,276.62,,,,
1681.709,276.63,276.63,,,,
1681.792,276.63,276.63,,,,
1681.875,276.63,276.63,,,,
1681.959,276.63,276.63,,,,
1682.042,276.63,276.63,,,,
1682.125,276.64,276.64,,,,
1682.209,276.64,276.64,,,,
1682.292,276.64,276.64,,,,
1682.375,276.64,276.64,,,,
1682.459,276.65,276.65,,,,
1682.542,276.65,276.65,,,,
1682.625,276.65,276.65,,,,
1682.709,276.65,276.65,,,,
1682.792,276.65,276.65,,,,
1682.875,276.66,276.66,,,,
1682.959,276.66,276.66,,,,
1683.042,276.66,276.66,,,,
1683.125,276.66,276.66,,,,
1683.209,276.67,276.67,,,,
1683.292,276.67,276.67,,,,
1683.375,276.67,276.67,,,,
1683.459,276.67,276.67,,,,
1683.542,276.67,276.67,,,,
1683.625,276.68,276.68,,,,
1683.709,276.68,276.68,,,,
1683.792,276.68,276.68,,,,
1683.875,276.68,276.68,,,,
1683.959,276.68,276.68,,,,
1684.042,276.69,276.69,,,,
1684.125,276.69,276.69,,,,
1684.209,276.69,276.69,,,,
1684.292,276.69,276.69,,,,
1684.375,276.7,276.7,,,,
1684.459,276.7,276.7,,,,
1684.542,276.7,276.7,,,,
1684.625,276.7,276.7,,,,
1684.709,276.7,276.7,,,,
1684.792,276.71,276.71,,,,
1684.875,276.71,276.71,,,,
1684.959,276.71,276.71,,,,
1685.042,276.71,276.71,,,,
1685.125,276.71,276.71,,,,
1685.209,276.72,276.72,,,,
1685.292,276.72,276.72,,,,
1685.375,276.72,276.72,,,,
1685.459,276.72,276.72,,,,
1685.542,276.73,276.73,,,,
1685.625,276.73,276.73,,,,
1685.709,276.73,276.73,,,,
1685.792,276.73,276.73,,,,
1685.875,276.73,276.73,,,,
1685.959,276.74,276.74,,,,
1686.042,276.74,276.74,,,,
1686.125,276.74,276.74,,,,
